trope_id,name,category,description,raw_tags,include_in_model,notes
political_intrigue,Political / court intrigue,story_trope,"Plots driven by court politics, power struggles, and schemes.","Corruption, Freedom Fighters, Political Intrigue, Politics, Rebels, Revolution, Royalty",True,
survival_war,Survival / war,story_trope,"Characters struggle to survive war, conflict, or harsh conditions.","Aftermath, Military, Survival, War, Wilderness",True,
heist_crime_caper,Heist / crime caper,story_trope,Storylines centered on planning and executing a crime or high-stakes mission.,"Bounty Hunters, Criminals, Heist, Mafia, Robbery, Spies",True,
kidnapping_captivity,Kidnapping / captivity,story_trope,"A character is kidnapped, held captive, or otherwise trapped.","Imprisonment, Kidnapping, Locked In, Rescue Missions, Trapped",True,
school_campus,School / campus story,story_trope,"Stories centered on school, university, or campus life.","College, Delinquents, Higher Education, School, Teenagers, University",True,
workplace_professional,Workplace / professional setting,story_trope,Stories focused on characters' jobs or professional environments.,"Hospital, Medical, Office, Restaurants, Workplace",True,
time_travel_reincarnation,Time travel / reincarnation,story_trope,Characters move through time or live multiple lives.,"Past Lives, Peggy Sue, Rebirth, Reincarnation, Resurrection, Time Loop, Time Travel",True,
afterlife_ghosts,Afterlife / ghosts,story_trope,"Stories dealing with life after death, spirits, or haunting.","Afterlife, Ghosts, Spirits",True,
supernatural_creatures,Supernatural creatures,story_trope,Prominent focus on non-human supernatural beings.,"Angels, Demons, Dragons, Merpeople, Monsters, Mythical Beings & Creatures, Vampires, Witchcraft",True,
secret_identity_double_life,Secret identity / double life,story_trope,A character hides their true identity or lives a double life.,"Secret Identity, Spies, Superheroes, Undercover",True,
road_trip_travel,Road trip / travel adventure,story_trope,Plot structured around a journey or extended travel.,"Road Trip, Travel, Wilderness",True,
next_generation_legacy,Next generation / legacy story,story_trope,Focus on children of previous heroes or inheriting a legacy.,"Family, Next Gen, Next Generation, Orphans, Parenthood, Siblings, Single Parents",True,
lgbtq_lead,LGBTQ+ lead,representation,The primary point-of-view character or central protagonist is LGBTQ+.,"Bisexual Character, Gay, Gay Character, Gay Erotica, Gay Fiction, Gay For You, Genderqueer, LGBT, LGBTQ Character, LGBTQ Themes, Lesbian, Lesbian Character, Lesbian Fiction, Lesbian Romance, Pansexual Character, Queer, Queer Character, Queer Lit, Queer Studies",True,
trans_nonbinary_lead,Trans or non-binary lead,representation,"The main character is explicitly described as transgender, non-binary, or gender nonconforming.","Genderqueer Character, Nonbinary Character, Trans Character, Transgender Character",True,
bipoc_lead,BIPOC lead,representation,"The main character is Black, Indigenous, or a person of color and this identity is foregrounded.","African American, African American Literature, African American Romance, Asian Character, Asian Literature, BIPOC Character, Black Character, Black Literature, Indian Literature, Indigenous Character, Latinx Character, Person of Color",True,Map specific race/ethnicity tags here; keep raw tags in metadata if you need finer detail.
disabled_lead,Disabled / chronically ill lead,representation,The main character has a physical disability or chronic illness that is explicitly acknowledged.,"Blind Character, Chronic Illness, Deaf Character, Disability, Disabled Character, Wheelchair User",True,
neurodivergent_lead,Neurodivergent lead,representation,"The main character is autistic, ADHD, dyslexic, or otherwise explicitly described as neurodivergent.","ADHD, Autistic Character, Dyslexic Character, Neurodivergent",True,
faith_centered_lead,Faith-centered lead,representation,"Faith, religion, or spiritual practice is central to the main character’s identity or arc.","Buddhist Character, Christian Character, Hindu Character, Jewish Character, Muslim Character, Religion, Spiritual",True,
cw_violence_gore,Violence & gore,content_warning,"Contains significant physical violence, combat, or graphic injury.","Blood, Fights, Gore, Violence, War, Weapons",True,
cw_abuse,Abuse,content_warning,"Depicts emotional, physical, or domestic abuse.","Abuse, Domestic Abuse, Emotional Abuse",True,
cw_bullying_harassment,Bullying & harassment,content_warning,"Includes bullying, harassment, or targeted cruelty toward a character.","Bullying, Harassment, Humiliation",True,
cw_self_harm_suicide,Self-harm & suicide,content_warning,"References or depicts self-harm, suicidal ideation, or suicide attempts.","Self-Harm, Suicide",True,
cw_substance_use,Substance use & addiction,content_warning,"Features problematic use of alcohol or drugs, including addiction.","Alcohol, Drugs, Substance Abuse",True,
cw_medical_trauma,Serious illness & medical trauma,content_warning,"Focuses on serious illness, injury, or distressing medical situations.","Hospital, Illness, Injury, Medical, Sick Character",True,
cw_kidnapping_captivity,Kidnapping & captivity,content_warning,"Involves kidnapping, forced confinement, or captivity.","Imprisonment, Kidnapping, Locked In, Trapped",True,
cw_trauma_ptsd,Trauma & PTSD themes,content_warning,Centers on traumatic experiences and their psychological aftermath.,"Depression, Grief, Loss, Mental Health Issues, Mourning, Nightmares, Trauma",True,
